Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
153	24Jul00	102043	18.78	8.01	1178	0.7539	9.65	620
154	26Jul00	102243	19.95	8	944	0.6042	9.42	1400
155	31Jul00	101443	21.62	7.71	473.5	0.303	7.63	5200
156	02Aug00	92517	21.49	7.78	600	0.384	7.35	2800
157	07Aug00	111050	22.52	7.85	228.8	0.1464	7.63	7000
158	14Aug00	111038	21.03	8.04	961	0.615	12.06	100
159	21Aug00	104224	17.72	7.61	786	0.503	9.33	390
160	28Aug00	110611	21.16	7.84	750	0.48	8.49	190
161	06Sep00	100604	16.34	7.78	496	0.318	10	1300
162	11Sep00	103845	22.37	7.78	381	0.244	7.75	6090
163	13Sep00	102902	17.5	7.91	648	0.414	8.39	520
164	18Sep00	105603	15.18	7.86	919	0.588	9.84	310
165	25Sep00	95153	12.96	7.74	251	0.16	8.42	1300
166	02Oct00	101545	16.65	8.05	895.5	0.5731	8.77	630
167	08Oct00	111404	8.45	8.11	829.3	0.5307	10.71	840
168	16Oct00	111617	15.01	7.92	814.4	0.5212	8.58	310
169	23Oct00	103037	16.03	7.82	931.1	0.5959	8.88	200
170	30Oct00	100617	9.34	7.8	954.9	0.6111	10.81	200
171	01Nov00	94710	12.62	7.93	972	0.622	8.99	16690
172	06Nov00	101202	8.43	7.78	1029	0.6584	12.81	200
173	13Nov00	101147	8.99	7.78	615.9	0.394	11.3	6090
174	20Nov00	90707	3.33	7.7	953.6	0.6103	16.74	410
175	27Nov00	100944	4.71	7.69	621.5	0.394	11.1	1220
176	04Dec00	102903	2.1	7.65	1043	0.6678	16.72	300
177	06Dec00	92902	1.54	7.55	1086	0.6953	13.78	520
178	11Dec00	95047	1.79	7.42	682	0.4365	13.11	241917
179	18Dec00	102500	###	###	0	0	###	###
180	26Dec00	101000	###	###	0	0	###	###
181	02Jan01	102654	-0.08	###	2010	1.286	13.83	100
182	11Jan01	94719	-0.1	###	1804	1.155	12.86	100
183	16Jan01	102308	-0.12	###	1844	1.18	13.26	520
184	22Jan01	95035	-0.09	###	1390	0.8895	17.03	100
185	29Jan01	103141	0.81	7.87	1672	1.07	11.32	200
186	05Feb01	101042	0.61	7.98	1162	0.744	14.97	630
187	07Feb01	110353	0.85	8.07	1348	0.863	15.72	310
188	12Feb01	93706	1.37	7.82	989	0.633	14.04	410
189	20Feb01	94455	4.04	8.04	1164	0.745	18.86	310
190	26Feb01	92738	4.04	8	971	0.621	12.22	1320
191	05Mar01	95907	1.67	7.81	1163	0.745	15.2	200
192	07Mar01	93335	0.59	7.82	1110	0.71	16.91	100
193	12Mar01	103631	5.6	8.07	1128	0.722	17.16	100
194	20Mar01	92359	4.95	7.95	1028	0.6582	13.28	100
195	26Mar01	104538	1.3	7.97	827.8	0.5298	15.49	100
196	02Apr01	94418	6.64	7.77	1063	0.6806	11.42	100
197	09Apr01	94441	18.05	7.83	1164	0.745	7.24	100
198	17Apr01	93912	6.51	7.84	825	0.528	13.74	510
199	23Apr01	102921	18.75	7.82	1054	0.6745	9.15	100
200	30Apr01	94800	14.08	7.9	1109	0.71	10.43	200
201	07May01	92343	18.91	7.88	1163	0.7442	8.12	3090
202	09May01	103137	17.28	7.88	615	0.394	10.95	3130
203	14May01	95336	14.6	7.77	1127	0.7213	8.4	300
204	21May01	102856	19.57	7.67	825.1	0.5281	7.86	410
205	29May01	95812	15.43	7.99	885	0.567	8.68	410
206	04Jun01	94649	14.55	7.86	224.5	0.1437	9.12	43520
207	06Jun01	100135	17.76	7.47	239.4	0.1532	8.35	77010
208	11Jun01	104251	20.08	7.8	1058	0.6769	8.23	310
209	18Jun01	93955	21.25	7.56	760.5	0.4867	6.12	1210
210	25Jun01	94424	19.63	7.93	766	0.4902	8.76	850
211	02Jul01	105015	18.3	7.89	567	0.363	7.71	36090
212	09Jul01	95836	###	###	###	###	###	6760
213	16Jul01	100346	20.33	7.92	1044	0.668	7.71	520
214	23Jul01	95333	24.16	7.65	614.9	0.3935	3.35	2780
215	30Jul01	111748	23.39	7.86	848.4	0.5429	9.28	740
216	06Aug01	94307	22.2	7.81	1119	0.7161	7.66	1090
217	13Aug01	104325	21.88	7.86	1097	0.7022	13.12	410
218	15Aug01	95154	19.25	7.86	1030	0.6593	7.9	300
219	20Aug01	90833	18.51	7.74	679.1	0.4346	7.19	970
220	27Aug01	94730	20.57	7.82	602.2	0.3854	7.62	740
221	04Sep01	92034	20.77	7.9	815.3	0.5218	7.17	520
222	10Sep01	111428	19.79	7.88	407	0.26	8.74	3930
223	12Sep01	94602	18.1	7.92	969.6	0.6206	8.58	310
