Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
157	05Feb03	121851	-0.17	7.69	1933	1.237	13.43	910
158	12Feb03	110744	-0.3	6.44	2446	1.565	14.6	187
159	19Feb03	###	###	###	0	0	###	###
160	26Feb03	102500	###	###	0	0	###	###
161	27Feb03	101134	-0.24	7.63	2791	1.786	13.62	448
162	06Mar03	102240	0.21	7.52	1657	1.06	14.95	833
163	11Mar03	111319	0.79	7.62	1254	0.8028	16.04	369
164	13Mar03	102808	5.97	7.75	843.6	0.5396	11.44	17328
165	19Mar03	105220	11.44	7.77	1271	0.8132	14.09	359
166	27Mar03	120554	12.01	7.75	1198	0.7667	12.64	984
167	01Apr03	104806	10.36	7.66	1202	0.7696	11.7	435
168	07Apr03	103249	6.67	7.4	1104	0.7066	11.04	1467
169	17Apr03	104954	8.51	7.71	949.7	0.6097	10.22	7270
170	22Apr03	103820	10.7	7.32	1200	0.7681	7.78	###
171	28Apr03	105418	15.31	7.47	1234	0.7899	9.05	650
172	05May03	104829	15.31	7.4	347	0.2398	9.84	24192
173	08May03	101925	16.23	7.46	889	0.5693	8.23	1076
174	13May03	110303	14.76	7.62	1006	0.6436	9.58	1014
175	20May03	102617	18	7.92	1121	0.7174	6.01	644
176	27May03	123052	18.33	8.08	1186	0.759	9.42	399
177	02Jun03	114422	###	###	###	###	###	771
178	10Jun03	102153	17.86	7.41	1220	0.781	7.43	749
179	19Jun03	104026	21.08	7.88	1122	0.718	6.55	4611
180	24Jun03	105850	22	7.69	1077	0.6893	7.43	1145
181	30Jun03	111844	22.83	8.22	1200	0.768	7.22	2014
182	10Jul03	102049	21.7	7.9	382	0.244	7.92	7270
183	14Jul03	112159	21.92	7.99	958	0.613	7.57	1145
184	17Jul03	104332	21.42	7.84	911	0.583	8.57	1467
185	22Jul03	95300	20.72	7.82	584.5	0.3741	7.12	4106
186	29Jul03	105040	20.91	7.72	735	0.47	7.45	2481
187	07Aug03	111159	22.52	7.82	826.3	0.5288	6.79	771
188	12Aug03	111141	22.3	7.83	603	0.3861	6.4	3873
189	18Aug03	111323	21.94	7.49	810	0.5189	6.93	6893
190	26Aug03	104005	23.44	7.92	1159	0.7417	5.4	1785
191	28Aug03	110355	23.91	7.62	527	0.3379	5.6	15531
192	04Sep03	103805	19.56	8.09	876	0.561	7.56	1046
193	10Sep03	104908	20.52	8.03	1155	0.7391	7.14	620
194	16Sep03	103558	17.5	7.9	1169	0.7481	8.19	472
195	22Sep03	124128	19.49	7.87	269	0.172	4.9	15531
196	30Sep03	115448	12.5	7.58	814	0.5211	13.96	1017
197	09Oct03	112513	15.54	7.93	1134	0.726	8.51	766
198	14Oct03	105148	14.84	8.03	156.5	0.1002	9.41	24192
199	20Oct03	104254	13.24	7.85	1043	0.6675	7.82	1333
200	23Oct03	110343	11.44	8.08	1158	0.7409	11.29	262
201	28Oct03	110010	8.93	7.8	787	0.5037	8.55	538
202	05Nov03	103152	14.09	7.17	1013	0.6481	4.64	860
203	12Nov03	105324	12.71	7.25	828	0.53	9.67	4611
204	17Nov03	122439	8.94	8	1029	0.659	10.95	309
205	19Nov03	102541	12.39	7.37	362.9	0.2323	9.02	6867
206	24Nov03	114122	7.26	7.88	295.1	0.1889	11.52	19863
207	08Dec03	113247	4.66	8.03	999	0.639	11.88	448
208	10Dec03	110735	8.95	7.37	172	0.1101	10.54	17329
209	16Dec03	105652	3.69	7.19	2085	1.334	11.66	862
210	18Dec03	110700	1.11	7.24	1918	1.228	16.94	450
211	22Dec03	120026	3.8	8.09	1699	1.088	13.16	213
212	08Jan04	113238	1.46	7.92	1095	0.701	13.14	10462
213	13Jan04	112215	2.79	7.87	1177	0.754	13	1607
214	22Jan04	102941	0.15	7.18	1243	0.7953	12.47	24192
215	26Jan04	114349	0.57	7.15	1450	0.9282	12.11	4352
216	28Jan04	103245	-0.01	7.72	1814	1.161	11.65	3873
217	03Feb04	###	###	###	###	###	###	3448
218	09Feb04	###	###	###	###	###	###	9804
219	11Feb04	114718	0.56	7.14	2272	1.455	13.36	24192
220	16Feb04	103628	0.22	7.63	1759	1.126	12.73	3441
221	25Feb04	110536	3.28	7.32	1457	0.9324	14.81	441
222	04Mar04	103207	8.61	7.84	1373	0.878	10.08	650
223	11Mar04	104029	6.75	7.73	1367	0.875	11.76	86
224	18Mar04	124425	4.39	7.98	2079	1.33	12.84	332
225	22Mar04	110837	3.86	7.89	1597	1.022	15.04	10
226	24Mar04	110135	9.56	7.39	905	0.579	9.44	586
227	06Apr04	112649	10.73	8.13	1252	0.801	12.3	464
228	13Apr04	113740	7.5	8.12	1297	0.8303	11.52	335
229	15Apr04	105744	11.51	8.15	1333	0.853	11.05	6131
230	22Apr04	102526	14.66	7.22	1207	0.7725	7.69	201
231	29Apr04	105032	15.52	7.39	1308	0.8371	7.65	324
232	04May04	103554	12.2	7.81	1050	0.6719	9.71	464
233	13May04	104648	20.78	7.39	###	###	5.96	7270
234	19May04	105214	19.63	7.88	408	0.2613	8.13	17329
235	24May04	104113	20.51	7.87	751.1	0.4807	6.43	15531
236	27May04	121224	20.37	7.78	713.2	0.4565	6.55	833
237	02Jun04	105819	18.91	7.57	937	0.5997	7.6	1317
238	08Jun04	115543	24.17	7.64	1138	0.7283	7.83	728
239	17Jun04	###	###	###	0	0	###	###
240	21Jun04	112515	20.04	7.96	1122	0.718	8.04	435
241	29Jun04	110521	20.19	7.58	1175	0.752	7.91	1081
242	07Jul04	110551	22.89	7.92	1017	0.651	6.76	2187
243	08Jul04	100842	20.5	8	1048	0.671	8.57	4352
244	13Jul04	93334	23.71	7.72	603.2	0.386	6	7270
245	21Jul04	110823	23.53	8.06	1136	0.727	7.89	907
246	27Jul04	103454	18.47	7.98	1010	0.6462	9.49	3255
247	02Aug04	111309	22.78	8.01	1161	0.7431	5.58	441
248	05Aug04	101900	21.01	7.91	541.2	0.3464	7	24192
249	10Aug04	101148	21.21	8.1	1146	0.7331	7.54	495
250	18Aug04	102144	20.32	8.08	1234	0.7897	8.76	6488
251	24Aug04	104015	21.79	7.93	938	0.6007	6.2	2187
252	02Sep04	102508	20.52	8.06	1031	0.6597	7.6	1296
253	09Sep04	124728	19.93	8.09	1104	0.707	9.34	697
254	14Sep04	100226	21.05	7.91	1206	0.7719	7.52	8164
255	22Sep04	103207	17.91	7.83	1213	0.776	7.15	278
256	27Sep04	103243	16.54	7.73	1331	0.8518	8.15	313
257	04Oct04	113007	13.27	7.86	1367	0.875	8.1	63
258	06Oct04	112104	11.35	7.84	1356	0.8681	8.49	63
259	14Oct04	###	###	###	###	###	###	1789
260	18Oct04	###	###	###	###	###	###	24192
262	26Oct04	101115	13.2	7.63	792	0.5069	8.92	435
263	01Nov04	123713	13.43	7.65	1036	0.6631	8.18	63
264	04Nov04	102946	11.63	7.91	695	0.4452	8.11	933
265	10Nov04	104718	7.73	7.81	1081	0.6916	10.96	455
266	16Nov04	101853	8.32	7.78	1017	0.6511	9.58	411
267	18Nov04	104942	12.3	7.85	1086	0.6951	10.4	218
268	01Dec04	110802	6.18	7.99	419	0.2684	10.64	6867
269	06Dec04	110851	8.14	7.93	1037	0.664	9.28	4884
270	08Dec04	102025	8.64	7.81	559.1	0.3579	11.08	1455
271	13Dec04	111241	3.54	7.82	926	0.5926	13.48	223
272	16Dec04	104640	0.89	7.94	1095	0.701	13.18	884
273	04Jan05	110525	8.36	7.75	687.4	0.4399	11.54	4034
274	10Jan05	103953	5.34	7.9	1188	0.761	11	1515
275	12Jan05	102953	9.57	7.8	626	0.401	9.98	17329
276	24Jan05	105200	0.14	7.95	2069	1.324	13.24	1067
277	27Jan05	103332	0.08	7.73	1866	1.194	12.62	332
278	02Feb05	105940	1.02	7.72	1839	1.177	12.77	457
279	08Feb05	105514	6.53	7.77	1269	0.8121	10.84	1664
280	15Feb05	104958	6.43	8.01	1098	0.703	11.94	1785
281	23Feb05	101330	3.39	7.94	1318	0.8437	15.55	275
282	28Feb05	114105	5.62	7.98	1442	0.923	14.22	1565
283	03Mar05	105120	0.95	7.94	1386	0.8871	14.02	109
284	08Mar05	104624	3.84	7.98	1361	0.8713	15.54	598
285	14Mar05	105648	2.82	7.75	1335	0.8542	15.96	836
286	23Mar05	104644	5.53	7.84	1043	0.6674	10.78	5794
287	31Mar05	100910	12.41	7.77	1194	0.7641	9.59	379
288	06Apr05	105134	15.39	8.01	1230	0.7871	9.66	160
289	11Apr05	111256	18.46	8.06	1184	0.7576	9.07	295
290	12Apr05	112129	14.93	7.85	1313	0.8403	6.81	583
291	21Apr05	111102	16.08	7.66	1017	0.6506	7.56	3255
292	25Apr05	111520	11.24	8.13	997.7	0.6385	8.93	763
293	03May05	95321	8.1	8.04	1129	0.7225	10.01	591
294	09May05	115120	20	8.06	1177	0.753	10.53	556
295	18May05	112224	16.39	8	1070	0.685	9.66	563
296	24May05	103602	16.95	7.89	1111	0.7112	8.99	###
297	26May05	110143	17.17	7.91	786.6	0.5034	8.39	364
298	01Jun05	104355	18.87	8.04	1260	0.8066	9.28	1019
299	06Jun05	113751	23.42	8.04	1339	0.8568	7.68	789
300	08Jun05	103446	23.76	8.02	1310	0.8384	6.98	644
301	16Jun05	101424	19.56	7.74	1109	0.7101	6.92	1050
302	22Jun05	104019	23.37	7.95	1533	0.981	7.38	3255
303	06Jul05	102203	22.6	7.97	956.2	0.612	6.55	1529
304	13Jul05	104130	21.61	7.79	504	0.3225	6.17	6488
305	18Jul05	100327	23.87	7.91	459.5	0.2941	6.75	3784
306	20Jul05	102503	24.12	7.97	798	0.5107	7.19	3441
307	28Jul05	101656	20.93	7.9	613	0.392	6.73	1281
308	02Aug05	101922	24.03	8.18	883.6	0.5655	8.03	432
309	08Aug05	110107	24.39	8.21	929	0.594	9.73	719
310	16Aug05	95839	21.96	8.03	738.4	0.4726	6.78	3448
311	22Aug05	113712	23.92	8.01	29	0.019	7.8	318
312	31Aug05	95227	21.57	7.96	354.2	0.2267	7.78	9804
313	01Sep05	104432	21.05	8.04	588.6	0.3767	7.72	1071
314	07Sep05	111130	20.33	8.04	1112	0.712	8.72	857
315	12Sep05	101208	21.37	8.03	813.8	0.5208	8.16	373
316	20Sep05	95638	20.55	7.84	297.1	0.1902	7.82	14136
317	28Sep05	95911	17.98	8.02	766.9	0.4908	7.7	3255
318	05Oct05	104726	20.24	8.08	1016	0.6501	7.69	313
319	12Oct05	93213	15.49	7.9	1108	0.7089	8.32	474
320	17Oct05	114541	14.12	8.05	1136	0.7269	9.02	52
321	20Oct05	114354	13.84	8.17	1140	0.729	9.59	171
322	25Oct05	110124	9.03	8.08	615.4	0.3939	10.2	1376
323	03Nov05	114134	11.4	7.78	855.3	0.5474	10.87	231
324	07Nov05	102400	10.7	7.76	471.5	0.3018	9.05	3873
325	09Nov05	104423	15.27	7.81	556.4	0.3561	7.29	1296
326	14Nov05	112635	9.04	7.93	991	0.634	8.77	959
327	30Nov05	105100	4.14	7.67	661.9	0.4236	10.4	2359
328	05Dec05	111803	0.4	8.04	1400	0.896	12.96	350
329	08Dec05	104809	0.23	8.01	1848	1.183	12.32	2481
330	13Dec05	101050	-0.12	8.05	1467	0.939	12.45	504
331	15Dec05	93717	-0.23	7.65	2433	1.557	13.18	7270
332	20Dec05	###	###	###	###	###	###	###
333	12Jan06	111204	4.66	7.95	917.1	0.5869	12.68	3076
334	17Jan06	110426	7.65	7.88	835	0.535	10.3	19863
335	19Jan06	112438	3.67	7.91	2968	1.9	13.09	1236
336	24Jan06	105719	4.2	8.03	1227	0.7855	13.35	122
337	31Jan06	113449	4.77	8.04	1055	0.6753	13.13	373
338	01Feb06	103112	4.12	8.13	1118	0.7154	13.22	1421
339	09Feb06	93036	0.31	8.55	1172	0.75	11.99	393
340	13Feb06	111128	0.59	8.17	1331	0.852	15.22	771
341	21Feb06	103043	0.63	8.56	1177	0.7535	13.29	472
342	23Feb06	111103	2.98	8.4	1177	0.753	12.86	644
343	01Mar06	114125	6.39	7.96	1190	0.7618	15.82	697
344	09Mar06	104626	8.22	8.34	599.7	0.3838	10.4	12997
345	14Mar06	102939	7.07	8.03	593.1	0.3796	10.99	###
346	22Mar06	105633	2.81	8.43	1325	0.8481	13.18	158
347	30Mar06	103352	9.09	8.15	1254	0.8022	13.48	712
348	04Apr06	105109	7.8	8.07	846.4	0.5417	11.09	1259
349	10Apr06	122640	11.81	8.56	1043	0.6678	12.61	404
350	12Apr06	105254	14.8	8.04	1084	0.694	9.93	605
351	20Apr06	102655	15.56	7.89	1016	0.6506	8.51	1553
